ID,地區,年月,複數原告,複數被告,賠償金額,總賠償金額,PDF
"KSEV,111,雄小,1434,20220831,1",高雄,2022年08月,否,否,[39549],39549,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1434%2c20220831%2c1.pdf
"KSEV,111,雄小,1477,20220906,1",高雄,2022年09月,否,是,[55700],55700,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1477%2c20220906%2c1.pdf
"KSEV,111,雄小,1484,20220822,1",高雄,2022年08月,否,否,[11500],11500,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1484%2c20220822%2c1.pdf
"KSEV,111,雄小,1505,20220720,1",高雄,2022年07月,否,否,[19260],19260,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1505%2c20220720%2c1.pdf
"KSEV,111,雄小,1508,20220822,1",高雄,2022年08月,否,否,[13671],13671,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1508%2c20220822%2c1.pdf
"KSEV,111,雄小,1512,20220802,1",高雄,2022年08月,否,否,[5200],5200,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1512%2c20220802%2c1.pdf
"KSEV,111,雄小,1517,20220823,1",高雄,2022年08月,否,否,[6122],6122,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1517%2c20220823%2c1.pdf
"KSEV,111,雄小,1519,20220817,1",高雄,2022年08月,否,否,[61056],61056,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1519%2c20220817%2c1.pdf
"KSEV,111,雄小,1520,20220824,1",高雄,2022年08月,否,否,[15437],15437,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1520%2c20220824%2c1.pdf
"KSEV,111,雄小,1521,20220826,1",高雄,2022年08月,否,否,[28677],28677,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1521%2c20220826%2c1.pdf
"KSEV,111,雄小,1522,20220824,1",高雄,2022年08月,否,否,[22224],22224,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1522%2c20220824%2c1.pdf
"KSEV,111,雄小,1532,20220830,1",高雄,2022年08月,否,否,[5224],5224,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1532%2c20220830%2c1.pdf
"KSEV,111,雄小,1533,20220830,1",高雄,2022年08月,否,否,[10274],10274,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1533%2c20220830%2c1.pdf
"KSEV,111,雄小,1534,20220825,1",高雄,2022年08月,否,否,[94818],94818,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1534%2c20220825%2c1.pdf
"KSEV,111,雄小,1537,20220905,1",高雄,2022年09月,否,否,[16028],16028,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1537%2c20220905%2c1.pdf
"KSEV,111,雄小,1538,20220720,1",高雄,2022年07月,否,否,[6767],6767,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1538%2c20220720%2c1.pdf
"KSEV,111,雄小,1565,20220816,1",高雄,2022年08月,否,否,[10410],10410,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1565%2c20220816%2c1.pdf
"KSEV,111,雄小,1567,20220905,1",高雄,2022年09月,否,否,[67044],67044,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1567%2c20220905%2c1.pdf
"KSEV,111,雄小,1600,20220901,1",高雄,2022年09月,否,否,[30413],30413,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1600%2c20220901%2c1.pdf
"KSEV,111,雄小,1603,20220816,1",高雄,2022年08月,否,否,[31036],31036,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1603%2c20220816%2c1.pdf
"KSEV,111,雄小,1608,20220830,1",高雄,2022年08月,否,否,[13555],13555,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1608%2c20220830%2c1.pdf
"KSEV,111,雄小,1612,20220905,1",高雄,2022年09月,否,否,[10916],10916,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1612%2c20220905%2c1.pdf
"KSEV,111,雄小,1615,20220830,1",高雄,2022年08月,否,否,[10738],10738,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1615%2c20220830%2c1.pdf
"KSEV,111,雄小,1617,20220830,1",高雄,2022年08月,否,否,[39688],39688,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1617%2c20220830%2c1.pdf
"KSEV,111,雄小,1620,20221130,1",高雄,2022年11月,否,否,[23715],23715,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c1620%2c20221130%2c1.pdf
