date,2317,2330,2454,portfolio_value
2013-10-16,73.5,106.0,389.5,569.0
2013-10-15,73.8,107.0,394.0,574.8
2013-10-14,74.0,105.0,384.5,563.5
2013-10-11,75.4,106.5,384.5,566.4
2013-10-09,75.3,105.0,382.0,562.3
2013-10-08,75.8,105.0,378.5,559.3
2013-10-07,75.2,103.0,373.0,551.2
2013-10-04,75.9,104.0,379.5,559.4
2013-10-03,76.0,105.0,376.0,557.0
2013-10-02,75.0,103.0,368.0,546.0
2013-10-01,75.5,101.5,365.5,542.5
2013-09-30,75.9,100.5,365.5,541.9
2013-09-27,76.3,103.0,370.5,549.8
2013-09-26,75.8,101.5,372.0,549.3
2013-09-25,76.8,103.0,371.5,551.3
2013-09-24,76.9,105.0,369.5,551.4
2013-09-23,76.2,105.5,371.0,552.7
2013-09-18,75.9,103.0,370.0,548.9
2013-09-17,75.9,105.5,372.0,553.4
2013-09-16,76.0,105.5,370.0,551.5
2013-09-14,74.8,102.5,366.0,543.3
2013-09-13,75.0,102.5,370.5,548.0
2013-09-12,74.8,103.5,374.0,552.3
2013-09-11,76.0,104.5,370.0,550.5
2013-09-10,77.0,104.5,369.0,550.5
2013-09-09,77.0,103.0,370.0,550.0
2013-09-06,82.9,102.0,369.5,554.4
2013-09-05,82.2,101.5,367.5,551.2
2013-09-04,82.0,100.5,365.0,547.5
2013-09-03,82.0,102.0,363.5,547.5
2013-09-02,81.6,102.0,358.0,541.6
2013-08-30,81.2,100.5,367.0,548.7
2013-08-29,79.8,98.7,363.5,542.0
2013-08-28,79.3,96.8,366.0,542.1
2013-08-27,80.0,95.6,367.5,543.1
2013-08-26,81.3,96.8,367.5,545.6
2013-08-23,80.5,97.0,367.0,544.5
2013-08-22,80.7,94.5,368.0,543.2
2013-08-20,80.1,94.4,370.0,544.5
2013-08-19,79.4,95.5,375.0,549.9
2013-08-16,79.1,96.5,360.0,535.6
2013-08-15,78.5,96.0,360.0,534.5
2013-08-14,79.1,96.8,363.0,538.9
2013-08-13,79.1,97.2,366.0,542.3
2013-08-12,77.5,96.0,352.5,526.0
2013-08-09,76.3,96.4,351.0,523.7
2013-08-08,77.0,96.4,354.0,527.4
2013-08-07,77.1,97.0,350.0,524.1
2013-08-06,78.1,98.8,351.0,527.9
2013-08-05,79.0,100.5,358.5,538.0
2013-08-02,76.9,100.5,363.0,540.4
2013-08-01,76.6,100.5,362.0,539.1
2013-07-31,77.8,102.5,360.0,540.3
2013-07-30,78.7,102.0,355.5,536.2
2013-07-29,78.6,100.0,361.0,539.6
2013-07-26,78.9,102.5,358.0,539.4
2013-07-25,79.2,102.5,355.0,536.7
2013-07-24,79.0,102.0,346.5,527.5
2013-07-23,77.9,100.0,343.5,521.4
2013-07-22,77.6,97.0,330.5,505.1
2013-07-19,77.4,98.2,322.5,498.1
2013-07-18,78.0,105.5,331.0,514.5
2013-07-17,77.4,109.0,340.0,526.4
2013-07-16,78.4,108.0,349.5,535.9
2013-07-15,78.5,109.5,358.0,546.0
2013-07-12,78.0,110.0,360.0,548.0
2013-07-11,78.0,109.5,350.0,537.5
2013-07-10,75.9,106.0,351.5,533.4
2013-07-09,74.5,106.0,353.5,534.0
