站名,平均氣溫,絕對最高氣溫,絕對最低氣溫,總日照時數h,總日射量MJ/ m2,Year,Month,行政區,days_in_month,平均每日日照時數,平均每日日射量,ESH
茶改場,*19.3,*27.2,*12.9,119.6,,1999,11,桃園市,30,3.9866666666666655,,
畜試所,22.3,31.8,14.3,117.1,258.41,1999,11,臺南市,30,3.903333333333333,8.613666666666667,2.3928766
恆春畜試,24.1,30,18.3,162.4,415.24,1999,11,屏東縣,30,5.413333333333333,13.841333333333331,3.8451223999999993
農業試驗所,23,35.9,14,118.8,260.35,1999,11,台中市,30,3.96,8.678333333333335,2.4108410000000005
苗栗農改,20.5,29.3,12.3,,349.57,1999,11,苗栗縣,30,,11.652333333333331,3.237018199999999
臺大溪頭,15.4,21.8,8.8,,208.89,1999,11,南投縣,30,,6.962999999999999,1.9343213999999997
桃園農改,16.4,26.3,6.3,75.5,171.79,1999,12,桃園市,31,2.435483870967742,5.541612903225806,1.539460064516129
五峰站,11.5,22.5,0,,197.24,1999,12,新竹縣,31,,6.362580645161291,1.7675249032258065
台中農改,17.2,28.4,5.1,134.8,195.83,1999,12,台中市,31,4.348387096774194,6.317096774193549,1.7548894838709677
雲林分場,17,27.2,3.9,93.9,234.01,1999,12,雲林縣,31,3.0290322580645164,7.548709677419355,2.097031548387097
義竹分場,17.1,27.4,4.3,,319.23,1999,12,嘉義縣,31,,10.297741935483872,2.8607127096774194
高雄農改,19.5,28.8,6.1,91.5,203.09,1999,12,屏東縣,31,2.9516129032258065,6.551290322580646,1.8199484516129032
斑鳩分場,17.7,27.4,7.8,55.0,165.63,1999,12,台東縣,31,1.7741935483870968,5.342903225806452,1.4842585161290325
花蓮農改,19,35.1,6.6,,191.21,1999,12,花蓮縣,31,,6.168064516129032,1.713488322580645
蘭陽分場,16.4,28,7,27.0,126.35,1999,12,宜蘭縣,31,0.8709677419354839,4.075806451612903,1.1322590322580643
茶改場,15.2,25.9,4.8,74.2,173.92,1999,12,桃園市,31,2.393548387096774,5.610322580645161,1.5585476129032259
畜試所,17.5,27.7,4.1,75.6,205.41,1999,12,臺南市,31,2.438709677419354,6.626129032258064,1.8407386451612902
恆春畜試,21.4,27.7,13.7,122.9,334.43,1999,12,屏東縣,31,3.9645161290322575,10.788064516129031,2.996924322580645
