Date,Open,High,Low,Close,Adj Close,Volume,sma,rsi,ma,std_dev,upperband,lowerband
2023-05-22,532.0,533.0,529.0,531.0,518.427734375,17208135,505.575,59.8039,505.575,12.5743,530.7236,480.4264
2023-05-23,530.0,531.0,525.0,530.0,517.4513549804688,19588873,506.725,61.6162,506.725,13.7118,534.1486,479.3014
2023-05-24,527.0,528.0,524.0,525.0,512.56982421875,19086681,508.075,64.2105,508.075,14.1303,536.3356,479.8144
2023-05-25,542.0,545.0,537.0,543.0,530.1436157226562,63827245,510.65,74.1784,510.65,15.57,541.79,479.51
2023-05-26,568.0,568.0,563.0,566.0,552.5989990234375,95808471,514.275,78.4314,514.275,19.3482,552.9714,475.5786
2023-05-29,574.0,574.0,564.0,568.0,554.5516357421875,54657853,517.575,77.2727,517.575,22.5139,562.6028,472.5472
2023-05-30,566.0,568.0,563.0,566.0,552.5989990234375,40136130,520.825,76.6393,520.825,24.591,570.007,471.643
2023-05-31,560.0,562.0,551.0,558.0,544.7884521484375,81176782,523.925,74.8,523.925,25.1973,574.3196,473.5304
2023-06-01,550.0,554.0,550.0,551.0,537.9541625976562,24477529,526.575,70.3846,526.575,25.1141,576.8032,476.3468
2023-06-02,559.0,564.0,557.0,562.0,548.6937255859375,30206141,529.675,72.3022,529.675,25.4849,580.6448,478.7052
2023-06-05,560.0,560.0,555.0,555.0,541.8594970703125,16827391,532.225,67.9577,532.225,25.3317,582.8884,481.5616
2023-06-06,554.0,562.0,553.0,560.0,546.7411499023438,20228086,534.725,67.7305,534.725,25.4897,585.7044,483.7456
2023-06-07,561.0,568.0,560.0,568.0,554.5516357421875,27604813,537.975,72.8873,537.975,25.3753,588.7256,487.2244
2023-06-08,562.0,568.0,555.0,559.0,545.7647705078125,23080195,540.975,70.4082,540.975,24.0364,589.0478,492.9022
2023-06-09,561.0,566.0,561.0,565.0,551.622802734375,19091713,544.425,73.0,544.425,22.1165,588.658,500.192
2023-06-12,574.0,574.0,571.0,574.0,560.4096069335938,26392389,548.35,74.7634,548.35,19.8236,587.9972,508.7028
2023-06-13,593.0,594.0,589.0,593.0,578.9597778320312,56174363,552.75,76.1905,552.75,19.4581,591.6662,513.8338
2023-06-14,590.0,591.0,587.0,590.0,576.03076171875,23583314,556.3,72.6115,556.3,19.4533,595.2066,517.3934
2023-06-15,590.0,593.0,587.0,591.0,579.708984375,27392154,559.35,70.7483,559.35,19.8899,599.1298,519.5702
2023-06-16,590.0,590.0,584.0,589.0,577.7471923828125,38128802,562.2,69.3878,562.2,19.8484,601.8968,522.5032
2023-06-19,583.0,585.0,582.0,583.0,571.8618774414062,14346885,564.8,67.1053,564.8,18.9309,602.6618,526.9382
2023-06-20,579.0,585.0,579.0,583.0,571.8618774414062,16221413,567.45,67.5497,567.45,17.4551,602.3602,532.5398
2023-06-21,582.0,585.0,578.0,581.0,569.9000244140625,21703937,570.25,68.9189,570.25,14.5344,599.3188,541.1812
2023-06-26,576.0,578.0,574.0,574.0,563.0337524414062,27142262,571.8,61.3139,571.8,13.0529,597.9058,545.6942
2023-06-27,570.0,575.0,569.0,572.0,561.0719604492188,21501718,572.1,52.5862,572.1,12.9814,598.0628,546.1372
2023-06-28,579.0,579.0,571.0,574.0,563.0337524414062,18175426,572.4,52.5862,572.4,12.9509,598.3018,546.4982
2023-06-29,578.0,580.0,570.0,573.0,562.0528564453125,16937929,572.75,53.0435,572.75,12.8631,598.4762,547.0238
2023-06-30,570.0,576.0,568.0,576.0,564.9955444335938,22654976,573.65,58.1818,573.65,12.3981,598.4462,548.8538
2023-07-03,578.0,580.0,576.0,579.0,567.938232421875,14785585,575.05,63.2075,575.05,11.2319,597.5138,552.5862
2023-07-04,585.0,585.0,580.0,585.0,573.8236694335938,17219541,576.2,61.3861,576.2,11.0005,598.201,554.199
2023-07-05,589.0,589.0,579.0,582.0,570.8809204101562,14913592,577.55,63.9175,577.55,9.8594,597.2688,557.8312
2023-07-06,573.0,574.0,565.0,565.0,554.2057495117188,28564891,577.8,52.2936,577.8,9.4457,596.6914,558.9086
2023-07-07,565.0,572.0,563.0,565.0,554.2057495117188,18796190,577.65,48.5149,577.65,9.6315,596.913,558.387
2023-07-10,567.0,573.0,565.0,565.0,554.2057495117188,18454982,577.95,53.2609,577.95,9.0987,596.1474,559.7526
2023-07-11,574.0,577.0,570.0,577.0,565.9764404296875,17850636,578.55,56.1224,578.55,8.5807,595.7114,561.3886
