站名,可借,可還,更新時間
YouBike2.0_金華杭州南路口,2,19,2022-02-18 09:16:09
YouBike2.0_捷運中正紀念堂站(3號出口),1,17,2022-02-18 08:55:30
YouBike2.0_捷運中正紀念堂站(4號出口),10,11,2022-02-18 09:10:40
YouBike2.0_重慶南海路口西南側,11,5,2022-02-18 09:14:28
YouBike2.0_螢橋國小,10,12,2022-02-18 09:08:11
YouBike2.0_古亭智慧圖書館,4,10,2022-02-18 07:48:12
YouBike2.0_永昌公園,10,3,2022-02-18 08:23:13
YouBike2.0_中華路二段409巷口,3,12,2022-02-18 09:06:12
YouBike2.0_南機場夜市(中華路二段),15,26,2022-02-18 08:59:12
YouBike2.0_南海和平路口西南側,6,13,2022-02-18 09:07:12
YouBike2.0_莒光和平路口,5,15,2022-02-18 09:02:28
YouBike2.0_水源路11-1號旁,3,16,2022-02-18 09:00:41
YouBike2.0_南門國中,13,8,2022-02-18 09:07:12
YouBike2.0_捷運小南門站(2號出口),14,4,2022-02-18 09:12:12
YouBike2.0_介壽公園,17,6,2022-02-18 09:18:13
YouBike2.0_中華貴陽街口,2,18,2022-02-18 09:00:41
YouBike2.0_華山文創園區,12,27,2022-02-18 09:11:12
YouBike2.0_捷運善導寺站(1號出口),5,12,2022-02-18 09:12:12
YouBike2.0_濟南紹興路口,12,8,2022-02-18 09:00:41
YouBike2.0_林森仁愛路口,6,7,2022-02-18 09:07:12
YouBike2.0_中正運動中心,2,16,2022-02-18 09:13:12
YouBike2.0_信義杭州路口,14,4,2022-02-18 09:18:13
YouBike2.0_捷運善導寺站(3號出口),1,19,2022-02-18 09:12:04
YouBike2.0_捷運小南門站(1號出口),2,44,2022-02-18 08:35:27
YouBike2.0_延平南路133巷口,0,17,2022-02-18 09:09:03
YouBike2.0_捷運西門站(2號出口),5,19,2022-02-18 09:18:13
YouBike2.0_寶慶博愛路口,12,7,2022-02-18 08:55:38
YouBike2.0_法務部,11,16,2022-02-18 08:45:27
YouBike2.0_臺北市立大學(博愛校區),5,44,2022-02-18 09:11:12
YouBike2.0_國家圖書館,11,5,2022-02-18 08:36:12
YouBike2.0_市民金山路口,2,16,2022-02-18 09:04:11
YouBike2.0_聯合醫院和平院區,7,11,2022-02-18 09:05:30
YouBike2.0_中山堂,4,9,2022-02-18 08:45:27
YouBike2.0_中華漢口街口,3,16,2022-02-18 09:00:41
YouBike2.0_中華路一段21巷口,1,21,2022-02-18 08:50:33
YouBike2.0_捷運臺大醫院站(4號出口),13,10,2022-02-18 09:18:13
YouBike2.0_寶藏巖觀音亭,12,11,2022-02-18 08:05:26
YouBike2.0_師大水源路口,0,11,2022-02-18 07:10:29
YouBike2.0_中山徐州路口,8,8,2022-02-18 09:09:11
YouBike2.0_信義連雲街口,0,18,2022-02-18 09:05:22
YouBike2.0_臺北轉運站,12,12,2022-02-18 09:13:12
YouBike2.0_莒光大埔街口,1,13,2022-02-18 08:36:12
YouBike2.0_捷運忠孝新生站(2號出口),6,14,2022-02-18 09:18:13
YouBike2.0_光華商場,11,10,2022-02-18 09:07:12
YouBike2.0_中山青島路口,6,10,2022-02-18 09:16:09
YouBike2.0_捷運中正紀念堂站(5號出口),4,24,2022-02-18 08:47:12
YouBike2.0_王貫英先生紀念圖書館,8,7,2022-02-18 08:47:12
YouBike2.0_金山信義路口,4,6,2022-02-18 09:08:11
YouBike2.0_林森徐州路口,10,6,2022-02-18 09:08:11
YouBike2.0_徐州杭州路口,2,17,2022-02-18 08:45:27
YouBike2.0_通北街65巷口,3,13,2022-02-18 09:19:12
YouBike2.0_圓山風景區,8,7,2022-02-18 08:47:12
YouBike2.0_樂群二堤頂大道口,10,10,2022-02-18 09:19:12
YouBike2.0_劍潭社區,6,7,2022-02-18 09:05:30
YouBike2.0_培英公園,11,3,2022-02-18 08:59:12
YouBike2.0_樂群二明水路口,8,12,2022-02-18 09:19:12
YouBike2.0_北安大直街口,8,7,2022-02-18 08:29:13
YouBike2.0_捷運劍南路站(2號出口),22,16,2022-02-18 09:18:13
YouBike2.0_樂群二敬業三路口,10,9,2022-02-18 09:14:11
YouBike2.0_樂群二敬業四路口,6,12,2022-02-18 09:18:13
YouBike2.0_捷運大直站(3號出口),12,22,2022-02-18 09:00:41
YouBike2.0_復興市民路口,14,4,2022-02-18 09:13:12
YouBike2.0_南京遼寧街口,5,10,2022-02-18 09:19:12
YouBike2.0_伊通長安路口,8,7,2022-02-18 08:59:12
YouBike2.0_新生長安路口,7,8,2022-02-18 09:14:03
YouBike2.0_市民林森路口,9,11,2022-02-18 09:19:12
YouBike2.0_南京新生路口,6,6,2022-02-18 09:16:09
YouBike2.0_一江公園,11,5,2022-02-18 08:54:12
YouBike2.0_松江公園,5,10,2022-02-18 08:28:13
YouBike2.0_新生長春路口,1,14,2022-02-18 08:38:12
YouBike2.0_第二果菜批發市場,2,14,2022-02-18 09:19:12
YouBike2.0_民生建國路口,10,7,2022-02-18 09:14:11
YouBike2.0_興安華城,5,25,2022-02-18 08:59:12
